"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"REF**,REF**";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
2;"U2";"ESP-12E_SMD";1;"ESP-12E";;;
3;"U10,U12,U16,U18";"Relais_Omron_Electronics_Inc-EMC_Div_G5LE-14";4;"Relay";;;
4;"C1,C4,C5,C8,C9,C10,C11,C13,C14";"C_1206";9;"100n";;;
5;"C2,C3";"C_1206";2;"22p";;;
6;"C6,C7";"C_1206";2;"18p";;;
7;"C12";"C_1206";1;"10µ";;;
8;"C15";"CP_Radial_D6.3mm_P2.50mm";1;"100µ";;;
9;"C16,L1";"CP_Radial_D10.0mm_P5.00mm";2;"330µ";;;
10;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5819";;;
11;"J1,J2";"Pin_Header_Straight_1x03_Pitch2.54mm";2;"Conn_01x03";;;
12;"J3,J4,J5,J6,J8,J9";"TerminalBlock_bornier-3_P5.08mm";6;"Conn_01x03";;;
13;"J7";"RJ45-WIZnet";1;"RJ45-TRANSFO";;;
14;"J10";"Pin_Header_Straight_2x12_Pitch2.54mm";1;"IOT2Connector_Int";;;
15;"R1,R11,R12,R13,R14";"R_1206";5;"10k";;;
16;"R2";"R_1206";1;"4k7";;;
17;"R3,R4,R5,R6,R7,R8,R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"~";;;
18;"R15";"R_1206";1;"33k";;;
19;"R16";"R_1206";1;"2k";;;
20;"R17,R18";"R_1206";2;"180";;;
21;"U1,U3";"ICSP6";2;"ICSP6";;;
22;"U4,U21";"SW_PUSH_6mm";2;"Button";;;
23;"U6";"Pin_Header_Angled_2x22_Pitch2.54mm";1;"IOT2Connector";;;
24;"U7,U8,U13,U14";"TO-92_Inline_Wide";4;"MOSFET";;;
25;"U9,U11,U15,U17";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
26;"U20";"TO-220-5_Vertical";1;"LM2575";;;
27;"Y1";"Crystal_HC49-U_Vertical";1;"10MHz";;;
28;"Y2";"Crystal_HC49-U_Vertical";1;"25MHz";;;
29;"U5";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATMEGA324A-AU";;;
30;"U19";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"ENC28J60-C/SS";;;
